time,sim2real,rid,cid,gid,mode,battery,critical
123.0,0.5,1,-1,-1,1,25.75,False
123.0,0.5,2,-1,-1,1,34.5,False
123.0,0.5,3,-1,-1,1,32.5,False
123.0,0.5,4,-1,-1,1,39.375,False
123.0,0.5,5,-1,-1,1,36.5,False
123.0,0.5,6,-1,-1,1,29.625,False
126.0,0.5,0,-1,-1,1,38.0,False
126.0,0.5,1,300,0,0,40.75,False
126.0,0.5,2,-1,-1,1,32.0,False
126.0,0.5,3,-1,-1,1,30.0,False
126.0,0.5,4,-1,-1,1,36.875,False
126.0,0.5,5,-1,-1,1,34.0,False
126.0,0.5,6,-1,-1,1,27.125,False
129.0,0.5,0,-1,-1,1,35.5,False
129.0,0.5,1,-1,-1,1,38.25,False
129.0,0.5,2,-1,-1,1,29.5,False
129.0,0.5,3,-1,-1,1,27.5,False
129.0,0.5,4,-1,-1,1,34.375,False
129.0,0.5,5,-1,-1,1,31.5,False
129.0,0.5,6,300,0,0,42.125,False
132.0,0.5,0,-1,-1,1,33.0,False
132.0,0.5,1,-1,-1,1,35.75,False
132.0,0.5,2,-1,-1,1,27.0,False
132.0,0.5,3,300,0,0,42.5,False
132.0,0.5,4,-1,-1,1,31.875,False
132.0,0.5,5,-1,-1,1,29.0,False
132.0,0.5,6,-1,-1,1,39.625,False
135.0,0.5,0,-1,-1,1,30.5,False
135.0,0.5,1,-1,-1,1,33.25,False
135.0,0.5,2,300,0,0,42.0,False
135.0,0.5,3,-1,-1,1,40.0,False
135.0,0.5,4,-1,-1,1,29.375,False
135.0,0.5,5,-1,-1,1,26.5,False
135.0,0.5,6,-1,-1,1,37.125,False
138.0,0.5,0,-1,-1,1,28.0,False
138.0,0.5,1,-1,-1,1,30.75,False
138.0,0.5,2,-1,-1,1,39.5,False
138.0,0.5,3,-1,-1,1,37.5,False
138.0,0.5,4,-1,-1,1,26.875,False
138.0,0.5,5,300,0,0,41.5,False
138.0,0.5,6,-1,-1,1,34.625,False
141.0,0.5,0,-1,-1,1,25.5,False
141.0,0.5,1,-1,-1,1,28.25,False
141.0,0.5,2,-1,-1,1,37.0,False
141.0,0.5,3,-1,-1,1,35.0,False
141.0,0.5,4,300,0,0,41.875,False
141.0,0.5,5,-1,-1,1,39.0,False
141.0,0.5,6,-1,-1,1,32.125,False
144.0,0.5,0,300,0,0,40.5,False
144.0,0.5,1,-1,-1,1,25.75,False
144.0,0.5,2,-1,-1,1,34.5,False
144.0,0.5,3,-1,-1,1,32.5,False
144.0,0.5,4,-1,-1,1,39.375,False
144.0,0.5,5,-1,-1,1,36.5,False
144.0,0.5,6,-1,-1,1,29.625,False
147.0,0.5,0,-1,-1,1,38.0,False
147.0,0.5,1,300,0,0,40.75,False
147.0,0.5,2,-1,-1,1,32.0,False
147.0,0.5,3,-1,-1,1,30.0,False
147.0,0.5,4,-1,-1,1,36.875,False
147.0,0.5,5,-1,-1,1,34.0,False
147.0,0.5,6,-1,-1,1,27.125,False
150.0,0.5,0,-1,-1,1,35.5,False
150.0,0.5,1,-1,-1,1,38.25,False
150.0,0.5,2,-1,-1,1,29.5,False
150.0,0.5,3,-1,-1,1,27.5,False
150.0,0.5,4,-1,-1,1,34.375,False
150.0,0.5,5,-1,-1,1,31.5,False
150.0,0.5,6,300,0,0,42.125,False
153.0,0.5,0,-1,-1,1,33.0,False
153.0,0.5,1,-1,-1,1,35.75,False
153.0,0.5,2,-1,-1,1,27.0,False
153.0,0.5,3,300,0,0,42.5,False
153.0,0.5,4,-1,-1,1,31.875,False
153.0,0.5,5,-1,-1,1,29.0,False
153.0,0.5,6,-1,-1,1,39.625,False
156.0,0.5,0,-1,-1,1,30.5,False
156.0,0.5,1,-1,-1,1,33.25,False
156.0,0.5,2,300,0,0,42.0,False
156.0,0.5,3,-1,-1,1,40.0,False
156.0,0.5,4,-1,-1,1,29.375,False
156.0,0.5,5,-1,-1,1,26.5,False
156.0,0.5,6,-1,-1,1,37.125,False
159.0,0.5,0,-1,-1,1,28.0,False
159.0,0.5,1,-1,-1,1,30.75,False
159.0,0.5,2,-1,-1,1,39.5,False
159.0,0.5,3,-1,-1,1,37.5,False
159.0,0.5,4,-1,-1,1,26.875,False
159.0,0.5,5,300,0,0,41.5,False
159.0,0.5,6,-1,-1,1,34.625,False
162.0,0.5,0,-1,-1,1,25.5,False
162.0,0.5,1,-1,-1,1,28.25,False
162.0,0.5,2,-1,-1,1,37.0,False
162.0,0.5,3,-1,-1,1,35.0,False
162.0,0.5,4,300,0,0,41.875,False
162.0,0.5,5,-1,-1,1,39.0,False
162.0,0.5,6,-1,-1,1,32.125,False
165.0,0.5,0,300,0,0,40.5,False
165.0,0.5,1,-1,-1,1,25.75,False
165.0,0.5,2,-1,-1,1,34.5,False
165.0,0.5,3,-1,-1,1,32.5,False
165.0,0.5,4,-1,-1,1,39.375,False
165.0,0.5,5,-1,-1,1,36.5,False
165.0,0.5,6,-1,-1,1,29.625,False
168.0,0.5,0,-1,-1,1,38.0,False
168.0,0.5,1,300,0,0,40.75,False
168.0,0.5,2,-1,-1,1,32.0,False
168.0,0.5,3,-1,-1,1,30.0,False
168.0,0.5,4,-1,-1,1,36.875,False
168.0,0.5,5,-1,-1,1,34.0,False
168.0,0.5,6,-1,-1,1,27.125,False
171.0,0.5,0,-1,-1,1,35.5,False
171.0,0.5,1,-1,-1,1,38.25,False
171.0,0.5,2,-1,-1,1,29.5,False
171.0,0.5,3,-1,-1,1,27.5,False
171.0,0.5,4,-1,-1,1,34.375,False
171.0,0.5,5,-1,-1,1,31.5,False
171.0,0.5,6,300,0,0,42.125,False
174.0,0.5,0,-1,-1,1,33.0,False
174.0,0.5,1,-1,-1,1,35.75,False
174.0,0.5,2,-1,-1,1,27.0,False
174.0,0.5,3,300,0,0,42.5,False
174.0,0.5,4,-1,-1,1,31.875,False
174.0,0.5,5,-1,-1,1,29.0,False
174.0,0.5,6,-1,-1,1,39.625,False
177.0,0.5,0,-1,-1,1,30.5,False
177.0,0.5,1,-1,-1,1,33.25,False
177.0,0.5,2,300,0,0,42.0,False
177.0,0.5,3,-1,-1,1,40.0,False
177.0,0.5,4,-1,-1,1,29.375,False
177.0,0.5,5,-1,-1,1,26.5,False
177.0,0.5,6,-1,-1,1,37.125,False
180.0,0.5,0,-1,-1,1,28.0,False
180.0,0.5,1,-1,-1,1,30.75,False
180.0,0.5,2,-1,-1,1,39.5,False
180.0,0.5,3,-1,-1,1,37.5,False
